city,date_type,listing_url,property_type,price_per_night,fees_included,free_cancellation,guest_favourite,top_guest_favourite,superhost_badge_visible,overall_rating,review_count,listing_id,host_is_superhost,host_total_reviews,host_response_rate,host_response_time,max_guests,instant_book,self_check_in,area_name,amenities_count,safety_features_count,flag_rating_without_reviews,flag_reviews_without_rating,flag_high_amenities_low_capacity,flag_price_outlier,flag_amenities_outlier,flag_invalid_price,flag_invalid_rating,flag_invalid_guest_count,price_per_night_normalized
Delhi,weekend,https://www.airbnb.co.in/rooms/1556344749241980740,Place to stay,2056.0,False,True,False,False,No,4.8,5.0,1556344749241980740,True,5.0,95.0,Responds within an hour,2.0,False,False,Saket Tehsil,18.0,5.0,False,False,False,False,False,False,False,False,2056.0
Delhi,weekend,https://www.airbnb.co.in/rooms/1556605039533940686,Flat,2376.0,False,True,False,False,Yes,4.86,7.0,1556605039533940686,True,7.0,100.0,Responds within an hour,2.0,False,True,Sector 64,22.0,5.0,False,False,False,False,False,False,False,False,2376.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1557570632442980817,Place to stay,5816.0,False,False,False,False,No,0.0,0.0,1557570632442980817,True,1.0,100.0,Responds within an hour,2.0,False,False,Rajouri Garden,31.0,3.0,True,False,False,False,False,False,False,False,1454.0
Delhi,weekend,https://www.airbnb.co.in/rooms/1557570632442980817,Place to stay,1454.0,False,True,False,False,No,0.0,0.0,1557570632442980817,True,1.0,100.0,Responds within an hour,2.0,False,False,Rajouri Garden,31.0,3.0,True,False,False,False,False,False,False,False,1454.0
Delhi,weekend,https://www.airbnb.co.in/rooms/1557894169952992275,Flat,2968.0,False,True,True,False,No,4.86,7.0,1557894169952992275,True,4.86,100.0,Responds within an hour,4.0,False,True,Rohini,20.0,3.0,False,False,False,False,False,False,False,False,2968.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1558405264921184937,Place to stay,7042.0,False,False,False,False,No,0.0,0.0,1558405264921184937,True,1.0,100.0,Responds within an hour,2.0,False,True,Patel Nagar,40.0,5.0,True,False,True,False,False,False,False,False,1760.5
Delhi,weekday,https://www.airbnb.co.in/rooms/1558463688687969317,Place to stay,6163.0,False,False,False,False,No,0.0,0.0,1558463688687969317,True,1.0,100.0,Responds within an hour,2.0,False,True,Sector 46,46.0,4.0,True,False,True,False,False,False,False,False,1540.75
Delhi,weekend,https://www.airbnb.co.in/rooms/1558463688687969317,Place to stay,1618.0,False,True,False,False,No,0.0,0.0,1558463688687969317,True,1.0,100.0,Responds within an hour,2.0,False,True,Sector 46,46.0,4.0,True,False,True,False,False,False,False,False,1618.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1558569602609726794,Flat,8309.0,False,False,True,False,No,5.0,10.0,1558569602609726794,True,5.0,100.0,Responds within an hour,4.0,False,False,Saket Tehsil,29.0,3.0,False,False,False,False,False,False,False,False,2077.25
Delhi,weekend,https://www.airbnb.co.in/rooms/1558569602609726794,Flat,2236.0,False,False,True,False,No,5.0,10.0,1558569602609726794,True,5.0,100.0,Responds within an hour,4.0,False,False,Saket Tehsil,29.0,3.0,False,False,False,False,False,False,False,False,2236.0
Delhi,weekend,https://www.airbnb.co.in/rooms/1559598703219656740,Flat,1998.0,False,True,False,False,Yes,5.0,4.0,1559598703219656740,True,4.0,98.0,Responds within an hour,3.0,False,True,HUDA Sector 27,31.0,3.0,False,False,False,False,False,False,False,False,1998.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1560831952875136801,Place to stay,9815.0,False,False,False,False,Yes,5.0,4.0,1560831952875136801,True,4.0,100.0,Responds within an hour,2.0,False,True,Kalkaji Tehsil,47.0,5.0,False,False,True,False,False,False,False,False,2453.75
Delhi,weekend,https://www.airbnb.co.in/rooms/1560831952875136801,Place to stay,2711.0,False,True,False,False,Yes,5.0,4.0,1560831952875136801,True,4.0,100.0,Responds within an hour,2.0,False,True,Kalkaji Tehsil,47.0,5.0,False,False,True,False,False,False,False,False,2711.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1561713004491997118,Place to stay,12226.0,False,False,False,False,No,0.0,0.0,1561713004491997118,True,1.0,100.0,Responds within an hour,2.0,False,False,Civil Lines Tehsil,53.0,5.0,True,False,True,False,False,False,False,False,3056.5
Delhi,weekend,https://www.airbnb.co.in/rooms/1561713004491997118,Flat,2799.0,False,False,False,False,No,0.0,0.0,1561713004491997118,True,1.0,100.0,Responds within an hour,2.0,False,False,Civil Lines Tehsil,53.0,5.0,True,False,True,False,False,False,False,False,2799.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1562472640663884906,Home,11869.0,False,False,True,False,No,5.0,7.0,1562472640663884906,True,5.0,100.0,Responds within an hour,2.0,False,False,Kapashera Tehsil,16.0,3.0,False,False,False,False,False,False,False,False,2967.25
Delhi,weekend,https://www.airbnb.co.in/rooms/1564358497958051631,Flat,1474.0,False,False,False,False,No,0.0,0.0,1564358497958051631,True,1.0,100.0,Responds within an hour,2.0,False,True,Saket Tehsil,32.0,3.0,True,False,False,False,False,False,False,False,1474.0
Delhi,weekend,https://www.airbnb.co.in/rooms/1564369869764289646,Flat,3335.0,False,True,True,False,No,5.0,5.0,1564369869764289646,True,5.0,100.0,Responds within an hour,2.0,False,True,Sector 47,31.0,3.0,False,False,False,False,False,False,False,False,3335.0
Delhi,weekend,https://www.airbnb.co.in/rooms/1564374567189803116,Flat,2799.0,False,False,False,False,No,0.0,0.0,1564374567189803116,True,4.86,100.0,Responds within an hour,2.0,False,False,Palam,34.0,3.0,True,False,False,False,False,False,False,False,2799.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1564777494331226170,Place to stay,2219.0,False,False,False,False,No,5.0,4.0,1564777494331226170,True,4.0,96.0,Responds within an hour,16.0,False,True,Kapashera,26.0,5.0,False,False,False,False,False,False,False,False,554.75
Delhi,weekday,https://www.airbnb.co.in/rooms/1565012238772391268,Flat,8904.0,False,False,False,False,No,0.0,0.0,1565012238772391268,True,1.0,100.0,Responds within a few hours,2.0,False,False,Palam Vihar Extension,17.0,5.0,True,False,False,False,False,False,False,False,2226.0
Delhi,weekend,https://www.airbnb.co.in/rooms/1565012238772391268,Flat,2226.0,False,True,False,False,No,0.0,0.0,1565012238772391268,True,1.0,100.0,Responds within a few hours,2.0,False,False,Palam Vihar Extension,17.0,5.0,True,False,False,False,False,False,False,False,2226.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1565085520061201317,Flat,6273.0,False,False,False,False,No,4.2,5.0,1565085520061201317,True,5.0,100.0,Responds within an hour,2.0,False,True,Sector 24,25.0,5.0,False,False,False,False,False,False,False,False,1568.25
Delhi,weekend,https://www.airbnb.co.in/rooms/1566531848323438585,Flat,2799.0,False,False,False,False,No,0.0,0.0,1566531848323438585,True,10.0,100.0,Responds within an hour,2.0,False,True,Vasant Vihar Tehsil,25.0,5.0,True,False,False,False,False,False,False,False,2799.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1567210840239991815,Place to stay,12588.0,False,False,False,False,No,0.0,0.0,1567210840239991815,True,2.0,100.0,Responds within an hour,2.0,False,True,Safdarjung Enclave,41.0,4.0,True,False,True,False,False,False,False,False,3147.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1567419700202757838,Hotel,5022.0,False,False,False,False,Yes,5.0,4.0,1567419700202757838,True,4.0,99.0,Responds within an hour,2.0,False,False,Vasant Vihar Tehsil,18.0,4.0,False,False,False,False,False,False,False,False,1255.5
Delhi,weekend,https://www.airbnb.co.in/rooms/1567419700202757838,Hotel,1256.0,False,True,False,False,Yes,5.0,4.0,1567419700202757838,True,4.0,99.0,Responds within an hour,2.0,False,False,Vasant Vihar Tehsil,18.0,4.0,False,False,False,False,False,False,False,False,1256.0
Delhi,weekend,https://www.airbnb.co.in/rooms/1568545580469478474,Flat,1717.0,False,False,False,False,No,5.0,4.0,1568545580469478474,True,4.0,100.0,Responds within an hour,2.0,False,True,Sector 24,27.0,5.0,False,False,False,False,False,False,False,False,1717.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1568714850049167150,Place to stay,6425.0,False,False,False,False,No,0.0,0.0,1568714850049167150,True,1.0,97.0,Responds within an hour,3.0,False,True,Kalkaji Tehsil,20.0,3.0,True,False,False,False,False,False,False,False,1606.25
Delhi,weekend,https://www.airbnb.co.in/rooms/1568714850049167150,Place to stay,1598.0,False,True,False,False,No,0.0,0.0,1568714850049167150,True,1.0,97.0,Responds within an hour,3.0,False,True,Kalkaji Tehsil,20.0,3.0,True,False,False,False,False,False,False,False,1598.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1568728691709977025,Place to stay,10280.0,False,False,True,True,No,5.0,12.0,1568728691709977025,True,5.0,99.0,Responds within an hour,3.0,False,False,Saket Tehsil,43.0,4.0,False,False,False,False,False,False,False,False,2570.0
Delhi,weekday,https://www.airbnb.co.in/rooms/1569407706664134597,Flat,10426.0,False,False,False,False,Yes,5.0,7.0,1569407706664134597,True,7.0,100.0,Responds within an hour,4.0,False,True,Sector 43,36.0,5.0,False,False,False,False,False,False,False,False,2606.5
Delhi,weekday,https://www.airbnb.co.in/rooms/1570424456876405738,Flat,11315.0,False,False,False,False,Yes,5.0,4.0,1570424456876405738,True,4.0,99.0,Responds within an hour,2.0,False,True,Satbari,42.0,4.0,False,False,True,False,False,False,False,False,2828.75
Delhi,weekend,https://www.airbnb.co.in/rooms/1570424456876405738,Flat,2977.0,False,False,False,False,Yes,5.0,4.0,1570424456876405738,True,4.0,99.0,Responds within an hour,2.0,False,True,Satbari,42.0,4.0,False,False,True,False,False,False,False,False,2977.0
